iter	Passed	Remaining
0	219	219701
1	221	110704
2	224	74679
3	232	57926
4	234	46727
5	236	39234
6	238	33878
7	240	29872
8	246	27124
9	248	24633
10	251	22607
11	254	20922
12	262	19918
13	265	18717
14	273	17928
15	274	16905
16	276	16015
17	279	15235
18	284	14697
19	286	14041
20	288	13446
21	290	12916
22	292	12426
23	298	12139
24	301	11744
25	303	11355
26	304	10990
27	306	10655
28	314	10541
29	317	10250
30	321	10042
31	322	9763
32	324	9504
33	331	9409
34	333	9193
35	335	8979
36	337	8780
37	345	8737
38	347	8570
39	351	8442
40	354	8288
41	360	8225
42	362	8074
43	365	7933
44	367	7799
45	374	7762
46	377	7652
47	380	7539
48	381	7413
49	383	7288
50	389	7244
51	391	7140
52	395	7065
53	398	6986
54	407	6998
55	409	6900
56	411	6804
57	414	6732
58	416	6643
59	422	6625
60	424	6537
61	426	6453
62	428	6373
63	430	6291
64	436	6272
65	439	6219
66	441	6154
67	444	6088
68	453	6124
69	457	6071
70	459	6007
71	461	5942
72	468	5945
73	472	5908
74	474	5849
75	476	5792
76	477	5728
77	485	5733
78	487	5681
79	489	5625
80	493	5597
81	503	5639
82	504	5576
83	506	5528
84	516	5559
85	520	5527
86	522	5479
87	530	5501
88	533	5461
89	535	5415
90	537	5369
91	541	5346
92	545	5318
93	548	5287
94	551	5252
95	561	5289
96	564	5252
97	566	5214
98	568	5175
99	570	5135
100	572	5098
101	575	5070
102	578	5037
103	588	5074
104	592	5054
105	595	5018
106	598	4991
107	605	4997
108	607	4962
109	609	4933
110	611	4900
111	613	4863
112	618	4858
113	621	4831
114	624	4806
115	626	4773
116	627	4737
117	629	4707
118	646	4785
119	655	4808
120	657	4777
121	659	4748
122	661	4717
123	668	4720
124	671	4698
125	673	4674
126	675	4641
127	684	4663
128	686	4635
129	689	4613
130	691	4585
131	693	4557
132	700	4565
133	702	4538
134	703	4510
135	705	4480
136	706	4452
137	712	4453
138	715	4430
139	717	4409
140	719	4384
141	721	4357
142	723	4333
143	735	4370
144	737	4346
145	747	4374
146	750	4357
147	756	4354
148	774	4425
149	776	4402
150	778	4378
151	780	4356
152	784	4343
153	790	4341
154	792	4319
155	799	4328
156	808	4343
157	811	4322
158	814	4310
159	816	4288
160	821	4280
161	823	4258
162	825	4241
163	829	4229
164	832	4210
165	837	4207
166	840	4190
167	842	4171
168	846	4160
169	850	4151
170	853	4136
171	855	4117
172	859	4106
173	862	4094
174	869	4097
175	876	4103
176	884	4110
177	886	4094
178	889	4078
179	891	4060
180	899	4070
181	904	4066
182	907	4050
183	909	4033
184	916	4036
185	919	4021
186	939	4086
187	942	4070
188	944	4052
189	946	4034
190	948	4015
191	950	3997
192	952	3981
193	957	3978
194	959	3961
195	961	3945
196	963	3926
197	964	3908
198	966	3890
199	972	3890
200	974	3875
201	977	3860
202	980	3850
203	988	3855
204	991	3844
205	995	3837
206	997	3821
207	1002	3817
208	1004	3802
209	1008	3793
210	1010	3779
211	1012	3763
212	1014	3748
213	1019	3742
214	1020	3726
215	1022	3712
216	1024	3695
217	1025	3679
218	1027	3663
219	1028	3647
220	1034	3647
221	1037	3635
222	1043	3635
223	1049	3634
224	1051	3620
225	1061	3635
226	1066	3633
227	1069	3620
228	1073	3612
229	1075	3601
230	1100	3664
231	1103	3653
232	1107	3646
233	1112	3642
234	1114	3629
235	1117	3616
236	1119	3602
237	1121	3589
238	1122	3575
239	1124	3561
240	1131	3563
241	1136	3561
242	1139	3548
243	1143	3543
244	1154	3558
245	1160	3556
246	1163	3545
247	1168	3543
248	1170	3530
249	1176	3530
250	1179	3518
251	1182	3508
252	1184	3495
253	1186	3483
254	1191	3479
255	1196	3476
256	1197	3463
257	1207	3473
258	1210	3462
259	1214	3456
260	1225	3470
261	1227	3457
262	1230	3447
263	1232	3435
264	1243	3449
265	1309	3613
266	1311	3601
267	1313	3587
268	1323	3597
269	1326	3585
270	1327	3572
271	1334	3572
272	1338	3563
273	1350	3579
274	1357	3578
275	1359	3567
276	1361	3554
277	1363	3541
278	1365	3529
279	1367	3516
280	1373	3513
281	1375	3501
282	1376	3488
283	1378	3475
284	1381	3467
285	1398	3492
286	1404	3489
287	1406	3477
288	1443	3550
289	1445	3537
290	1446	3524
291	1448	3512
292	1450	3500
293	1452	3488
294	1454	3476
295	1456	3465
296	1458	3452
297	1463	3448
298	1467	3440
299	1470	3430
300	1476	3428
301	1482	3425
302	1484	3414
303	1486	3402
304	1495	3407
305	1498	3398
306	1500	3386
307	1502	3374
308	1507	3370
309	1509	3359
310	1511	3349
311	1513	3337
312	1515	3326
313	1522	3325
314	1524	3314
315	1525	3302
316	1527	3291
317	1529	3280
318	1533	3273
319	1535	3261
320	1537	3251
321	1539	3241
322	1544	3237
323	1547	3227
324	1549	3217
325	1551	3207
326	1553	3196
327	1554	3185
328	1558	3179
329	1560	3169
330	1562	3158
331	1564	3147
332	1565	3136
333	1568	3126
334	1586	3149
335	1590	3143
336	1592	3132
337	1593	3121
338	1595	3111
339	1597	3101
340	1599	3090
341	1601	3080
342	1605	3075
343	1607	3065
344	1610	3057
345	1614	3052
346	1616	3042
347	1624	3043
348	1633	3046
349	1654	3072
350	1656	3062
351	1658	3052
352	1659	3042
353	1661	3031
354	1663	3021
355	1664	3011
356	1666	3001
357	1670	2995
358	1672	2986
359	1674	2977
360	1676	2967
361	1678	2957
362	1680	2948
363	1683	2942
364	1685	2933
365	1718	2977
366	1746	3011
367	1753	3012
368	1756	3003
369	1762	3001
370	1766	2995
371	1769	2987
372	1771	2978
373	1782	2983
374	1784	2974
375	1786	2965
376	1790	2959
377	1794	2952
378	1800	2950
379	1803	2942
380	1807	2935
381	1809	2927
382	1814	2922
383	1816	2913
384	1819	2906
385	1821	2897
386	1823	2888
387	1826	2880
388	1830	2875
389	1832	2866
390	1835	2858
391	1837	2850
392	1839	2841
393	1841	2832
394	1846	2828
395	1848	2819
396	1850	2810
397	1852	2801
398	1854	2793
399	1856	2784
400	1862	2782
401	1864	2774
402	1867	2766
403	1869	2758
404	1872	2751
405	1877	2747
406	1880	2739
407	1882	2731
408	1886	2726
409	1888	2717
410	1894	2714
411	1896	2706
412	1898	2698
413	1900	2690
414	1902	2681
415	1904	2673
416	1908	2668
417	1913	2664
418	1915	2655
419	1916	2647
420	1918	2638
421	1922	2633
422	1924	2625
423	1926	2616
424	1927	2608
425	1929	2599
426	1930	2591
427	1932	2582
428	1934	2575
429	1938	2569
430	1940	2562
431	1942	2553
432	1944	2545
433	1945	2537
434	1947	2529
435	1949	2521
436	1954	2517
437	1956	2510
438	1958	2502
439	1960	2495
440	1964	2489
441	1971	2488
442	1973	2481
443	1975	2473
444	1977	2465
445	1978	2457
446	1980	2449
447	1985	2446
448	1989	2441
449	1994	2437
450	1996	2429
451	2004	2430
452	2006	2422
453	2008	2415
454	2012	2410
455	2019	2409
456	2021	2401
457	2025	2396
458	2036	2399
459	2049	2405
460	2051	2398
461	2055	2393
462	2057	2386
463	2060	2379
464	2092	2407
465	2100	2407
466	2102	2399
467	2104	2392
468	2106	2385
469	2112	2382
470	2115	2376
471	2120	2372
472	2124	2366
473	2131	2365
474	2133	2358
475	2136	2351
476	2138	2345
477	2143	2340
478	2145	2333
479	2151	2331
480	2154	2324
481	2157	2318
482	2159	2311
483	2165	2309
484	2168	2302
485	2170	2295
486	2172	2288
487	2174	2281
488	2177	2275
489	2185	2275
490	2188	2268
491	2190	2262
492	2193	2255
493	2202	2256
494	2205	2249
495	2207	2243
496	2215	2242
497	2217	2235
498	2220	2229
499	2223	2223
500	2246	2238
501	2256	2238
502	2264	2237
503	2266	2230
504	2268	2223
505	2270	2216
506	2272	2209
507	2278	2206
508	2280	2199
509	2284	2194
510	2286	2188
511	2288	2181
512	2293	2177
513	2296	2171
514	2298	2164
515	2300	2157
516	2301	2150
517	2303	2143
518	2308	2139
519	2311	2133
520	2314	2127
521	2316	2121
522	2318	2114
523	2319	2107
524	2326	2104
525	2329	2098
526	2331	2092
527	2333	2085
528	2334	2078
529	2338	2073
530	2340	2067
531	2342	2060
532	2343	2053
533	2359	2059
534	2361	2052
535	2363	2046
536	2365	2039
537	2382	2045
538	2386	2041
539	2388	2034
540	2390	2027
541	2392	2021
542	2393	2014
543	2395	2007
544	2397	2001
545	2402	1997
546	2407	1993
547	2410	1988
548	2412	1982
549	2424	1983
550	2430	1980
551	2453	1991
552	2461	1989
553	2463	1983
554	2465	1976
555	2467	1970
556	2469	1964
557	2475	1960
558	2476	1954
559	2478	1947
560	2481	1941
561	2483	1935
562	2493	1935
563	2495	1929
564	2501	1925
565	2510	1924
566	2516	1921
567	2522	1918
568	2526	1913
569	2529	1908
570	2532	1902
571	2543	1903
572	2545	1897
573	2547	1890
574	2561	1893
575	2565	1888
576	2578	1890
577	2596	1895
578	2608	1896
579	2611	1890
580	2623	1891
581	2626	1886
582	2629	1880
583	2649	1887
584	2651	1881
585	2653	1874
586	2656	1869
587	2662	1865
588	2664	1859
589	2667	1853
590	2670	1848
591	2672	1842
592	2676	1836
593	2678	1830
594	2679	1823
595	2682	1818
596	2683	1811
597	2689	1807
598	2691	1801
599	2693	1795
600	2697	1790
601	2700	1785
602	2702	1779
603	2704	1773
604	2707	1767
605	2709	1761
606	2712	1755
607	2713	1749
608	2722	1748
609	2724	1742
610	2727	1736
611	2729	1730
612	2732	1724
613	2742	1724
614	2746	1719
615	2752	1715
616	2755	1710
617	2758	1705
618	2760	1699
619	2768	1696
620	2770	1690
621	2772	1685
622	2774	1679
623	2776	1673
624	2778	1667
625	2783	1663
626	2786	1657
627	2798	1657
628	2800	1651
629	2802	1645
630	2804	1639
631	2805	1633
632	2809	1628
633	2814	1624
634	2816	1618
635	2818	1612
636	2820	1607
637	2823	1602
638	2828	1598
639	2831	1592
640	2833	1586
641	2835	1580
642	2838	1575
643	2844	1572
644	2847	1567
645	2850	1561
646	2853	1556
647	2862	1555
648	2866	1550
649	2868	1544
650	2870	1538
651	2878	1536
652	2883	1532
653	2885	1526
654	2891	1522
655	2892	1517
656	2894	1511
657	2896	1505
658	2898	1499
659	2899	1493
660	2901	1488
661	2907	1484
662	2908	1478
663	2911	1473
664	2924	1473
665	2927	1468
666	2929	1462
667	2942	1462
668	2944	1457
669	2954	1455
670	2956	1449
671	2957	1443
672	2959	1438
673	2962	1432
674	2967	1428
675	2970	1423
676	2972	1418
677	2974	1412
678	2976	1407
679	2978	1401
680	2984	1398
681	2986	1392
682	2988	1386
683	2989	1381
684	2991	1375
685	2993	1370
686	2999	1366
687	3001	1361
688	3003	1355
689	3005	1350
690	3007	1345
691	3009	1339
692	3015	1335
693	3017	1330
694	3019	1325
695	3022	1320
696	3024	1314
697	3031	1311
698	3038	1308
699	3040	1303
700	3047	1299
701	3049	1294
702	3052	1289
703	3055	1284
704	3057	1279
705	3059	1274
706	3063	1269
707	3065	1264
708	3066	1258
709	3068	1253
710	3070	1248
711	3072	1242
712	3074	1237
713	3076	1232
714	3077	1226
715	3082	1222
716	3085	1217
717	3087	1212
718	3089	1207
719	3090	1202
720	3092	1196
721	3094	1191
722	3099	1187
723	3101	1182
724	3104	1177
725	3106	1172
726	3108	1167
727	3114	1163
728	3118	1159
729	3121	1154
730	3123	1149
731	3126	1144
732	3133	1141
733	3135	1136
734	3138	1131
735	3140	1126
736	3146	1122
737	3152	1119
738	3161	1116
739	3170	1114
740	3173	1109
741	3175	1104
742	3177	1099
743	3178	1093
744	3185	1090
745	3187	1085
746	3189	1080
747	3191	1075
748	3193	1070
749	3199	1066
750	3222	1068
751	3224	1063
752	3241	1063
753	3248	1059
754	3250	1054
755	3252	1049
756	3254	1044
757	3256	1039
758	3266	1037
759	3269	1032
760	3271	1027
761	3278	1023
762	3286	1020
763	3288	1015
764	3293	1011
765	3295	1006
766	3298	1002
767	3300	997
768	3302	992
769	3308	988
770	3310	983
771	3314	978
772	3316	973
773	3319	969
774	3331	967
775	3335	962
776	3344	959
777	3347	955
778	3349	950
779	3351	945
780	3357	941
781	3360	936
782	3363	932
783	3366	927
784	3376	924
785	3379	920
786	3383	915
787	3390	912
788	3391	907
789	3393	902
790	3395	897
791	3397	892
792	3398	887
793	3405	883
794	3407	878
795	3410	873
796	3412	869
797	3414	864
798	3420	860
799	3421	855
800	3423	850
801	3425	845
802	3426	840
803	3428	835
804	3429	830
805	3435	826
806	3437	822
807	3438	817
808	3442	812
809	3444	807
810	3445	803
811	3447	798
812	3449	793
813	3451	788
814	3452	783
815	3454	778
816	3456	774
817	3457	769
818	3462	765
819	3464	760
820	3465	755
821	3467	750
822	3469	746
823	3470	741
824	3472	736
825	3477	732
826	3480	728
827	3481	723
828	3483	718
829	3485	713
830	3487	709
831	3493	705
832	3496	701
833	3498	696
834	3500	691
835	3501	686
836	3503	682
837	3509	678
838	3511	673
839	3513	669
840	3514	664
841	3517	660
842	3518	655
843	3522	651
844	3524	646
845	3526	641
846	3527	637
847	3529	632
848	3531	628
849	3533	623
850	3539	619
851	3540	615
852	3542	610
853	3543	605
854	3545	601
855	3547	596
856	3549	592
857	3553	588
858	3554	583
859	3556	578
860	3557	574
861	3559	569
862	3561	565
863	3563	560
864	3565	556
865	3576	553
866	3597	551
867	3600	547
868	3608	543
869	3610	539
870	3612	535
871	3614	530
872	3634	528
873	3649	526
874	3662	523
875	3664	518
876	3681	516
877	3684	511
878	3690	508
879	3695	503
880	3724	503
881	3728	498
882	3735	495
883	3737	490
884	3740	486
885	3744	481
886	3764	479
887	3769	475
888	3780	472
889	3783	467
890	3808	465
891	3810	461
892	3813	456
893	3815	452
894	3817	447
895	3823	443
896	3826	439
897	3828	434
898	3833	430
899	3838	426
900	3843	422
901	3845	417
902	3851	413
903	3853	409
904	3859	405
905	3869	401
906	3872	397
907	3874	392
908	3887	389
909	3892	384
910	3894	380
911	3897	376
912	3900	371
913	3902	367
914	3904	362
915	3907	358
916	3909	353
917	3916	349
918	3918	345
919	3922	341
920	3940	338
921	3951	334
922	3966	330
923	3973	326
924	4003	324
925	4005	320
926	4013	316
927	4015	311
928	4017	307
929	4018	302
930	4020	297
931	4022	293
932	4025	289
933	4028	284
934	4046	281
935	4048	276
936	4051	272
937	4058	268
938	4065	264
939	4068	259
940	4074	255
941	4084	251
942	4095	247
943	4097	243
944	4099	238
945	4101	234
946	4107	229
947	4110	225
948	4112	220
949	4114	216
950	4116	212
951	4124	207
952	4126	203
953	4128	199
954	4129	194
955	4132	190
956	4140	186
957	4146	181
958	4158	177
959	4160	173
960	4167	169
961	4170	164
962	4174	160
963	4181	156
964	4185	151
965	4187	147
966	4189	142
967	4204	139
968	4207	134
969	4219	130
970	4221	126
971	4223	121
972	4229	117
973	4232	112
974	4234	108
975	4236	104
976	4238	99
977	4251	95
978	4253	91
979	4255	86
980	4264	82
981	4266	78
982	4268	73
983	4270	69
984	4272	65
985	4277	60
986	4279	56
987	4281	52
988	4282	47
989	4285	43
990	4288	38
991	4293	34
992	4296	30
993	4299	25
994	4301	21
995	4308	17
996	4310	12
997	4312	8
998	4315	4
999	4316	0
